sub	run	trial	soa	audio	drive_Type	audio_Type	TTFF_FLWM	TTFF_HLWM	FLWM	HLWM
9	2	11	600	1	1	1	0.5324081	NA	1	0
9	2	12	400	1	1	1	0.5158363	NA	1	0
9	2	13	400	2	1	1	0.4826191	NA	1	0
9	2	14	200	1	1	1	0.5158354	NA	1	0
9	2	15	0	2	1	1	1.0648323	NA	1	0
9	2	16	200	2	1	1	0.415993	NA	1	0
9	2	17	400	3	1	1	NA	0.5490875	0	1
9	2	18	600	1	1	1	0.4659063	NA	1	0
9	2	19	600	2	1	1	0.5823662	NA	1	0
9	2	20	600	2	1	1	0.0332841	NA	1	0
9	2	21	0	3	1	1	0.698868	NA	1	0
9	2	22	200	3	1	1	NA	0.6656253	0	1
9	2	23	400	2	1	1	0.1830271	NA	1	0
9	2	24	600	3	1	1	NA	0.4327162	0	1
9	6	1	0	1	2	1	NA	0.8486185	0	1
9	6	2	600	3	2	1	NA	0.4494343	0	1
9	6	3	400	1	2	1	NA	NA	0	0
9	6	4	200	3	2	1	NA	NA	0	0
9	6	5	200	2	2	1	NA	0.5491194	0	1
9	6	6	0	3	2	1	NA	NA	0	0
9	6	7	200	3	2	1	NA	0.5823991	0	1
9	6	8	400	2	2	1	NA	0.4492771	0	1
9	6	9	400	1	2	1	1.2146986	0.5324896	1	1
9	6	10	600	2	2	1	NA	0.4159952	0	1
9	6	11	400	3	2	1	NA	0.4326389	0	1
9	6	12	200	1	2	1	NA	0.6156584	0	1
9	6	13	0	3	2	1	NA	0.6156561	0	1
9	6	14	0	1	2	1	0.7820243	NA	1	0
9	6	15	200	2	2	1	NA	0.4492719	0	1
9	6	16	600	2	2	1	NA	0	0	1
9	6	17	200	1	2	1	0.6157826	NA	1	0
9	6	18	400	3	2	1	0.5158223	NA	1	0
9	6	19	600	3	2	1	0.565746	NA	1	0
9	6	20	600	1	2	1	0.6988902	NA	1	0
9	6	21	600	1	2	1	NA	NA	0	0
9	6	22	0	2	2	1	NA	0.5657299	0	1
9	6	23	0	2	2	1	NA	0.5990596	0	1
9	6	24	400	2	2	1	1.0484647	NA	1	0
10	4	1	200	2	1	1	NA	NA	0	0
10	4	2	0	2	1	1	NA	NA	0	0
10	4	3	0	2	1	1	NA	NA	0	0
10	4	4	400	2	1	1	NA	NA	0	0
10	4	5	0	3	1	1	NA	NA	0	0
10	4	6	0	3	1	1	0.5657347	NA	1	0
10	4	7	400	3	1	1	0.2662395	NA	1	0
10	4	8	200	1	1	1	NA	NA	0	0
10	4	9	400	2	1	1	NA	NA	0	0
10	4	10	200	1	1	1	NA	NA	0	0
10	4	11	600	2	1	1	NA	NA	0	0
10	4	12	200	2	1	1	NA	NA	0	0
10	4	13	600	3	1	1	0	NA	1	0
10	4	14	0	1	1	1	NA	NA	0	0
10	4	15	600	1	1	1	NA	NA	0	0
10	4	16	200	3	1	1	0.5491011	NA	1	0
10	4	17	600	1	1	1	NA	NA	0	0
10	4	18	0	1	1	1	NA	NA	0	0
10	4	19	400	1	1	1	NA	NA	0	0
10	4	20	200	3	1	1	NA	0.5324636	0	1
10	4	21	600	3	1	1	NA	0	0	1
10	4	22	600	2	1	1	NA	NA	0	0
10	4	23	400	3	1	1	NA	0.2163169	0	1
10	4	24	400	1	1	1	NA	NA	0	0
10	8	1	200	3	2	1	NA	0.4492679	0	1
10	8	2	0	1	2	1	NA	NA	0	0
10	8	3	400	2	2	1	NA	NA	0	0
10	8	4	400	1	2	1	NA	NA	0	0
10	8	5	0	3	2	1	0.648927	NA	1	0
10	8	6	200	1	2	1	NA	NA	0	0
10	8	7	600	3	2	1	NA	NA	0	0
10	8	8	600	2	2	1	NA	NA	0	0
10	8	9	200	2	2	1	NA	NA	0	0
10	8	10	0	1	2	1	NA	NA	0	0
10	8	11	0	3	2	1	NA	NA	0	0
10	8	12	200	3	2	1	NA	NA	0	0
10	8	13	400	2	2	1	NA	NA	0	0
10	8	14	400	3	2	1	NA	0.4159932	0	1
10	8	15	0	2	2	1	NA	NA	0	0
10	8	16	400	1	2	1	NA	NA	0	0
10	8	17	200	2	2	1	NA	NA	0	0
10	8	18	400	3	2	1	0.2329369	NA	1	0
10	8	19	600	1	2	1	NA	NA	0	0
10	8	20	600	2	2	1	NA	NA	0	0
10	8	21	0	2	2	1	NA	NA	0	0
10	8	22	200	1	2	1	NA	NA	0	0
10	8	23	600	1	2	1	NA	NA	0	0
10	8	24	600	3	2	1	NA	0.2164544	0	1
11	2	1	200	3	2	1	NA	NA	0	0
11	2	2	400	3	2	1	NA	NA	0	0
11	2	3	600	1	2	1	NA	NA	0	0
11	2	4	0	3	2	1	NA	NA	0	0
11	2	5	600	3	2	1	NA	NA	0	0
11	2	6	600	2	2	1	NA	NA	0	0
11	2	7	200	1	2	1	NA	NA	0	0
11	2	8	400	3	2	1	NA	NA	0	0
11	2	9	0	2	2	1	NA	NA	0	0
11	2	10	0	2	2	1	NA	NA	0	0
11	2	11	600	1	2	1	NA	NA	0	0
11	2	12	200	2	2	1	NA	NA	0	0
11	2	13	0	1	2	1	NA	NA	0	0
11	2	14	400	1	2	1	NA	NA	0	0
11	2	15	400	2	2	1	NA	NA	0	0
11	2	16	200	3	2	1	NA	NA	0	0
11	2	17	400	1	2	1	NA	NA	0	0
11	2	18	200	1	2	1	NA	NA	0	0
11	2	19	200	2	2	1	NA	NA	0	0
11	2	20	600	2	2	1	NA	NA	0	0
11	2	21	0	3	2	1	NA	NA	0	0
11	2	22	0	1	2	1	NA	NA	0	0
11	2	23	600	3	2	1	NA	NA	0	0
11	2	24	400	2	2	1	NA	NA	0	0
11	6	1	600	3	1	1	NA	NA	0	0
11	6	2	400	3	1	1	NA	NA	0	0
11	6	3	200	3	1	1	NA	NA	0	0
11	6	4	400	1	1	1	NA	NA	0	0
11	6	5	200	2	1	1	NA	NA	0	0
11	6	6	200	1	1	1	NA	NA	0	0
11	6	7	600	3	1	1	NA	NA	0	0
11	6	8	600	2	1	1	NA	NA	0	0
11	6	9	200	3	1	1	NA	NA	0	0
11	6	10	600	1	1	1	NA	NA	0	0
11	6	11	0	1	1	1	NA	NA	0	0
11	6	12	400	1	1	1	NA	NA	0	0
11	6	13	200	1	1	1	NA	NA	0	0
11	6	14	200	2	1	1	NA	NA	0	0
11	6	15	0	3	1	1	NA	NA	0	0
11	6	16	0	2	1	1	NA	NA	0	0
11	6	17	400	3	1	1	NA	NA	0	0
11	6	18	400	2	1	1	NA	NA	0	0
11	6	19	400	2	1	1	NA	NA	0	0
11	6	20	0	2	1	1	NA	NA	0	0
11	6	21	0	3	1	1	NA	NA	0	0
11	6	22	0	1	1	1	NA	NA	0	0
11	6	23	600	2	1	1	NA	NA	0	0
11	6	24	600	1	1	1	NA	NA	0	0
12	4	1	600	3	2	1	NA	NA	0	0
12	4	2	400	2	2	1	NA	NA	0	0
12	4	3	400	3	2	1	NA	NA	0	0
12	4	4	600	1	2	1	NA	3.0784068	0	1
12	4	5	600	3	2	1	NA	NA	0	0
12	4	6	200	1	2	1	NA	NA	0	0
12	4	7	600	1	2	1	NA	NA	0	0
12	4	8	600	2	2	1	NA	NA	0	0
12	4	9	400	1	2	1	NA	1.4308842	0	1
12	4	10	400	2	2	1	NA	NA	0	0
12	4	11	0	2	2	1	NA	NA	0	0
12	4	12	200	3	2	1	NA	NA	0	0
12	4	13	0	3	2	1	NA	NA	0	0
12	4	14	0	1	2	1	NA	NA	0	0
12	4	15	400	3	2	1	NA	NA	0	0
12	4	16	0	3	2	1	NA	NA	0	0
12	4	17	600	2	2	1	NA	NA	0	0
12	4	18	400	1	2	1	NA	NA	0	0
12	4	19	200	2	2	1	NA	NA	0	0
12	4	20	0	2	2	1	NA	NA	0	0
12	4	21	200	2	2	1	NA	NA	0	0
12	4	22	0	1	2	1	NA	NA	0	0
12	4	23	200	1	2	1	NA	NA	0	0
12	4	24	200	3	2	1	NA	NA	0	0
12	8	1	400	1	1	1	NA	NA	0	0
12	8	2	0	2	1	1	NA	NA	0	0
